source,original_translation,mt_translation,bleu
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","У понеділок, науковці зі Школи медицини Стенфордського університету оголосили про винайдення нового діагностичного інструменту, що може сортувати клітини за їх видами: це малесенький друкований чіп, який можна виготовити за допомогою стандартних променевих принтерів десь по одному центу США за штуку."," У понеділок вчені з Стенфордської медичної школи оголосили про винайдення нового діагностичного інструменту, який може класифікувати клітини за типом: невеликий друкований чип, який може бути виготовлений за допомогою стандартних інжектових принтерів, можливо, приблизно за один американський цент кожен.",0.203106602642066
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Провідні дослідники кажуть, що це може сприяти ранньому виявленню раку, туберкульозу, ВІЛ і малярії у пацієнтів з країн з низьким рівнем доходу, де показники виживання людей з такими захворюваннями, як рак грудей, можуть бути вдвічі нижчі, ніж у заможніших країнах."," Вчені стверджують, що це може призвести до раннього виявлення раку, туберкульозу, ВІЛ і малярії у пацієнтів в країнах з низьким рівнем доходу, де рівень виживання таких захворювань, як рак молочної залози, може становити половину тих у багатіших країнах.",0.35217834698065603
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","Винищувач JAS 39C Gripen обрушився на злітно-посадкову смугу близько 9:30 ранку за місцевим часом (02:30 UTC) та вибухнув, внаслідок чого аеропорт закрив небо для комерційних рейсів."," Авіакатастрофа JAS 39C Gripen зіткнулася на маршруті близько 9:30 за місцевим часом (0230 UTC) і вибухнула, закривши аеропорт для комерційних рейсів.",0.2552058808220667
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Пілота пізніше опізнали як майора авіації Ділокріта Паттаві., Пілот був ідентифікований як лідер ескадрильї Дилокрит Паттаве.,0.0
Local media reports an airport fire vehicle rolled over while responding.,"Місцеві ЗМІ повідомляють, що пожежна машина аеропорту перекинулася під час виклику."," Місцеві ЗМІ повідомляють, що вогнепальний транспортний засіб в аеропорту перекинувся під час відповіді.",0.30130404892785684
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28-річний Відаль прийшов у Барселону три сезону тому із Севільї., 28-річний Відаль приєднався до «Барци» три сезони тому.,0.22499268274284367
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",Після переїзду до каталонської столиці Відаль зіграв за клуб 49 матчів.," З тих пір, як переїхав до каталонської столиці, Відаль зіграв для клубу 49 матчів.",0.0
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Протестування почалося близько 11:00 за місцевим часом (всесвітній координований час + 1) в Уайтхолі, біля входу на Даунінг-стріт, офіційної резиденції прем'єр-міністра, що охороняється поліцією."," Протест розпочався близько 11:00 за місцевим часом (UTC+1) на Whitehall проти поліцейського входу до вулиці Даунінг, офіційної резиденції прем’єр-міністра.",0.30333910760698723
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Відразу після 11:00 протестувальники заблокували рух у північному напрямку вулиці Вайтголл., Лише після 11:00 протестувальники заблокували рух транспорту на північному кордоні в Уайтхолі.,0.42610827239170174
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","Об 11:20 поліція попросила протестувальників відступити на тротуар, заявивши, що їм потрібно врівноважити право на протест і пожвавлення дорожнього руху."," О 11:20 поліція закликала протестувальників повернутися на підвал, заявивши, що їм необхідно збалансувати право на протест з будівництвом дорожнього руху.",0.337240545805259
